html_chars,html_tokens,dom_nodes,css_decls,n_domains,parse_ok
2894,852,86,16,1,True
2921,857,80,16,1,True
3048,951,83,16,1,True
2925,948,83,16,1,True
2162,675,56,16,1,True
2407,762,57,16,1,True
3015,948,83,16,1,True
2352,761,60,16,1,True
3143,986,83,16,1,True
2061,672,46,16,1,True
2276,752,57,16,1,True
1969,657,44,16,1,True
2215,731,54,16,1,True
2977,955,86,16,1,True
2266,753,57,16,1,True
3227,980,86,16,1,True
2297,749,61,16,1,True
2229,708,47,16,1,True
3282,1027,83,16,1,True
3096,970,77,16,1,True
1883,625,39,16,1,True
2803,913,80,16,1,True
3006,942,83,16,1,True
2153,678,43,16,1,True
2765,907,77,16,1,True
2851,928,83,16,1,True
3017,951,86,16,1,True
3238,986,86,16,1,True
3169,971,80,16,1,True
2940,943,83,16,1,True
2956,936,83,16,1,True
2982,934,77,16,1,True
2861,899,70,16,1,True
2321,758,60,16,1,True
3663,1145,107,16,1,True
2351,780,61,16,1,True
2383,759,57,16,1,True
2793,908,77,16,1,True
3181,989,86,16,1,True
2087,690,50,16,1,True
3263,981,86,16,1,True
2950,951,86,16,1,True
3084,974,86,16,1,True
3018,956,86,16,1,True
3106,975,83,16,1,True
3010,947,80,16,1,True
2989,944,87,16,1,True
2905,924,80,16,1,True
2598,833,63,16,1,True
1759,588,33,16,1,True
3097,970,86,16,1,True
1816,605,36,16,1,True
2489,795,63,16,1,True
2843,914,80,16,1,True
2995,947,80,16,1,True
3217,970,80,16,1,True
3036,952,80,16,1,True
3325,997,86,16,1,True
2677,855,68,16,1,True
2971,938,83,16,1,True
3235,989,83,16,1,True
2448,780,63,16,1,True
1984,641,44,16,1,True
2819,842,83,16,1,True
2385,766,53,16,1,True
3018,953,80,16,1,True
2715,845,71,16,1,True
2521,790,64,16,1,True
2305,763,61,16,1,True
2985,937,77,16,1,True
2572,838,71,16,1,True
2395,777,57,16,1,True
2931,939,83,16,1,True
2110,678,46,16,1,True
3217,991,80,16,1,True
3405,1024,80,16,1,True
1777,591,33,16,1,True
2201,675,62,16,1,True
2914,928,77,16,1,True
2663,869,72,16,1,True
1814,558,46,16,1,True
2519,792,63,16,1,True
3025,944,77,16,1,True
3077,946,77,16,1,True
3509,1044,86,16,1,True
2710,845,71,16,1,True
2059,676,47,16,1,True
2332,750,60,16,1,True
3095,963,86,16,1,True
2817,922,80,16,1,True
3156,985,84,16,1,True
2686,880,73,16,1,True
2747,855,69,16,1,True
3082,964,83,16,1,True
2494,775,57,16,1,True
2988,949,83,16,1,True
2131,705,51,16,1,True
2134,649,57,16,1,True
3198,983,86,16,1,True
2713,868,68,16,1,True
2931,932,80,16,1,True
3152,990,83,16,1,True
2601,826,63,16,1,True
1770,585,33,16,1,True
2062,679,46,16,1,True
2780,908,77,16,1,True
3032,972,86,16,1,True
3113,960,77,16,1,True
2601,837,68,16,1,True
2152,649,57,16,1,True
2342,751,57,16,1,True
3168,976,86,16,1,True
2993,939,80,16,1,True
3210,985,86,16,1,True
2225,727,54,16,1,True
2436,777,60,16,1,True
2926,920,77,16,1,True
2849,929,86,16,1,True
2989,924,80,16,1,True
2974,945,83,16,1,True
2905,939,83,16,1,True
2915,940,77,16,1,True
3333,1002,77,16,1,True
3001,958,83,16,1,True
2116,683,46,16,1,True
2940,931,77,16,1,True
3042,976,86,16,1,True
2913,927,83,16,1,True
2913,928,77,16,1,True
2180,709,50,16,1,True
2012,663,44,16,1,True
2629,862,76,16,1,True
2906,929,80,16,1,True
3148,944,77,16,1,True
3213,989,83,16,1,True
3262,1009,83,16,1,True
2962,926,83,16,1,True
3237,978,80,16,1,True
2004,651,40,16,1,True
2920,933,77,16,1,True
2871,943,80,16,1,True
3082,970,83,16,1,True
2863,919,77,16,1,True
3064,972,86,16,1,True
3008,962,83,16,1,True
2733,920,83,16,1,True
1886,624,40,16,1,True
2443,793,60,16,1,True
2923,938,77,16,1,True
2072,675,49,16,1,True
2363,747,57,16,1,True
1889,585,51,16,0,True
2083,673,44,16,1,True
2595,844,69,16,1,True
2397,776,61,16,1,True
2736,919,77,16,1,True
2851,872,71,16,1,True
3006,947,83,16,1,True
3314,1004,77,16,1,True
2924,941,86,16,1,True
3064,962,77,16,1,True
2921,943,83,16,1,True
2348,764,55,16,1,True
2774,906,80,16,1,True
2171,708,51,16,1,True
3036,954,83,16,1,True
2250,734,54,16,1,True
2618,840,65,16,1,True
3387,1037,86,16,1,True
3169,1000,86,16,1,True
3115,970,84,16,1,True
2911,929,80,16,1,True
2100,686,49,16,1,True
3263,1000,86,16,1,True
2819,916,77,16,1,True
2654,859,72,16,1,True
3143,967,86,16,1,True
2934,958,83,16,1,True
3108,971,86,16,1,True
2853,926,83,16,1,True
2301,750,58,16,1,True
2995,957,83,16,1,True
3306,1024,86,16,1,True
2285,761,56,16,1,True
2771,883,65,16,1,True
1860,618,39,16,1,True
2984,953,86,16,1,True
3017,941,77,16,1,True
2804,890,72,16,1,True
2943,939,77,16,1,True
2328,760,55,16,1,True
2016,656,43,16,1,True
3106,964,83,16,1,True
2744,875,69,16,1,True
2364,762,60,16,1,True
2992,928,77,16,1,True
2751,899,76,16,1,True
3154,977,80,16,1,True
2316,750,57,16,1,True
2003,647,43,16,1,True
3106,964,86,16,1,True
2364,766,61,16,1,True
2434,780,56,16,1,True
2038,670,47,16,1,True
2827,888,72,16,1,True
3102,984,86,16,1,True
2246,731,49,16,1,True
3114,972,86,16,1,True
2841,934,86,16,1,True
2776,907,83,16,1,True
3006,957,86,16,1,True
2540,823,65,16,1,True
2074,707,50,16,1,True
3025,954,77,16,1,True
2446,774,60,16,1,True
2938,944,80,16,1,True
1788,600,36,16,1,True
3332,1007,84,16,1,True
2362,745,51,16,1,True
2946,915,77,16,1,True
2365,775,60,16,1,True
2875,926,83,16,1,True
3395,1027,83,16,1,True
2925,940,83,16,1,True
2206,751,60,16,1,True
2833,880,72,16,1,True
2935,951,77,16,1,True
2834,915,77,16,1,True
2285,736,54,16,1,True
3187,976,80,16,1,True
2557,833,66,16,1,True
2931,949,83,16,1,True
3290,994,83,16,1,True
1955,649,43,16,1,True
3283,1007,83,16,1,True
3239,982,86,16,1,True
2940,938,77,16,1,True
2497,786,56,16,1,True
3089,971,80,16,1,True
3028,960,83,16,1,True
3028,960,81,16,1,True
2584,815,60,16,1,True
3130,963,83,16,1,True
2257,723,51,16,1,True
2050,638,57,16,1,True
2034,673,49,16,1,True
2955,940,77,16,1,True
3100,970,86,16,1,True
2868,927,80,16,1,True
3206,996,86,16,1,True
2828,912,75,16,1,True
3013,961,77,16,1,True
2371,770,60,16,1,True
2952,931,77,16,1,True
2840,921,80,16,1,True
2162,685,47,16,1,True
3093,975,86,16,1,True
3010,967,86,16,1,True
2876,934,86,16,1,True
2060,668,46,16,1,True
2001,649,43,16,1,True
2896,926,80,16,1,True
2846,927,83,16,1,True
2006,656,43,16,1,True
3202,995,83,16,1,True
2832,918,80,16,1,True
3087,967,86,16,1,True
2831,904,77,16,1,True
2201,729,54,16,1,True
3037,952,77,16,1,True
3001,958,81,16,1,True
2960,944,80,16,1,True
2351,764,57,16,1,True
2125,705,53,16,1,True
1780,594,36,16,1,True
3144,969,83,16,1,True
3200,986,86,16,1,True
1995,661,46,16,1,True
2647,834,65,16,1,True
2997,948,83,16,1,True
2839,921,80,16,1,True
2807,917,84,16,1,True
3231,983,77,16,1,True
2345,766,60,16,1,True
2597,797,82,16,0,True
1735,583,33,16,1,True
2692,849,66,16,1,True
2872,921,80,16,1,True
2601,811,64,16,1,True
1925,630,42,16,1,True
3156,969,80,16,1,True
2471,789,60,16,1,True
2804,893,74,16,1,True
2090,626,51,16,1,True
2461,772,60,16,1,True
2896,931,80,16,1,True
2008,609,59,16,1,True
1848,615,33,16,1,True
2718,898,81,16,1,True
2692,874,69,16,1,True
2758,857,62,16,1,True
3203,982,83,16,1,True
2920,921,77,16,1,True
3325,1017,86,16,1,True
2320,771,63,16,1,True
2969,951,86,16,1,True
2322,766,63,16,1,True
2434,774,56,16,1,True
3505,1024,83,16,1,True
3121,961,86,16,1,True
2461,789,57,16,1,True
3191,964,83,16,1,True
2202,717,51,16,1,True
1972,644,40,16,1,True
3362,1021,90,16,1,True
1879,628,42,16,1,True
3336,1015,86,16,1,True
2221,725,53,16,1,True
2956,938,80,16,1,True
2973,949,83,16,1,True
3160,967,77,16,1,True
3056,953,83,16,1,True
3123,967,80,16,1,True
1880,611,33,16,1,True
3206,983,83,16,1,True
2302,742,58,16,1,True
2889,928,80,16,1,True
3006,961,77,16,1,True
2874,884,68,16,1,True
2985,948,77,16,1,True
3090,964,84,16,1,True
2058,670,46,16,1,True
2201,728,54,16,1,True
1946,638,40,16,1,True
2933,932,80,16,1,True
2438,763,57,16,1,True
2678,854,71,16,1,True
3001,938,83,16,1,True
2679,848,66,16,1,True
3274,986,77,16,1,True
2113,698,48,16,1,True
2934,918,77,16,1,True
3057,953,80,16,1,True
2112,620,50,16,1,True
3216,990,86,16,1,True
2348,739,54,16,1,True
3120,969,86,16,1,True
2972,948,83,16,1,True
2114,682,44,16,1,True
2711,851,65,16,1,True
2235,739,54,16,1,True
2116,704,51,16,1,True
2769,917,86,16,1,True
2588,826,65,16,1,True
3053,959,80,16,1,True
3364,1038,89,16,1,True
2977,943,80,16,1,True
2448,775,57,16,1,True
3114,967,80,16,1,True
2968,982,83,16,1,True
3043,956,77,16,1,True
3090,972,80,16,1,True
3088,969,83,16,1,True
2958,939,80,16,1,True
2810,930,86,16,1,True
3046,955,83,16,1,True
3207,989,86,16,1,True
2890,910,69,16,1,True
2375,772,60,16,1,True
2348,766,60,16,1,True
2165,699,49,16,1,True
3163,1000,80,16,1,True
1819,607,36,16,1,True
3003,966,86,16,1,True
2541,847,69,16,1,True
2246,728,54,16,1,True
2629,855,69,16,1,True
2879,899,70,16,1,True
3029,957,83,16,1,True
2977,943,83,16,1,True
2286,747,54,16,1,True
3139,968,83,16,1,True
2625,850,70,16,1,True
3161,978,80,16,1,True
2942,951,80,16,1,True
2913,928,80,16,1,True
3007,905,86,16,1,True
3259,973,77,16,1,True
2844,937,83,16,1,True
1813,606,39,16,1,True
3316,1006,83,16,1,True
2804,927,87,16,1,True
1851,620,39,16,1,True
2298,732,54,16,1,True
3084,964,80,16,1,True
3026,939,77,16,1,True
3054,976,86,16,1,True
3063,971,80,16,1,True
3161,975,83,16,1,True
2540,814,65,16,1,True
3031,944,77,16,1,True
2953,952,80,16,1,True
3101,974,86,16,1,True
3065,955,83,16,1,True
2720,904,77,16,1,True
2889,926,77,16,1,True
3035,953,80,16,1,True
3140,982,83,16,1,True
2884,950,80,16,1,True
3010,958,80,16,1,True
3130,968,83,16,1,True
2614,841,63,16,1,True
1837,608,36,16,1,True
2082,691,50,16,1,True
3127,946,80,16,1,True
2368,759,57,16,1,True
3065,975,86,16,1,True
2066,680,44,16,1,True
2902,936,82,16,1,True
2011,664,43,16,1,True
2988,961,86,16,1,True
2485,794,60,16,1,True
2878,902,75,16,1,True
3042,961,77,16,1,True
2939,956,83,16,1,True
3164,964,77,16,1,True
3082,976,86,16,1,True
2356,762,60,16,1,True
1988,640,40,16,1,True
3104,968,83,16,1,True
2347,737,51,16,1,True
2418,792,62,16,1,True
2977,943,80,16,1,True
3033,945,79,16,1,True
1761,588,33,16,1,True
2843,893,75,16,1,True
2866,917,77,16,1,True
2250,740,57,16,1,True
2299,756,55,16,1,True
2802,924,78,16,1,True
2538,808,64,16,1,True
3178,984,86,16,1,True
2782,910,77,16,1,True
2814,896,78,16,1,True
2313,740,54,16,1,True
3263,1008,83,16,1,True
3188,965,77,16,1,True
2960,931,83,16,1,True
3020,935,77,16,1,True
3003,954,86,16,1,True
2205,729,57,16,1,True
1822,603,36,16,1,True
2986,941,78,16,1,True
2662,853,82,16,1,True
3074,969,86,16,1,True
3153,988,89,16,1,True
2195,718,48,16,1,True
2244,676,59,16,1,True
2318,765,60,16,1,True
2151,634,55,16,1,True
3021,947,83,16,1,True
2899,936,86,16,1,True
1837,603,36,16,1,True
1881,628,39,16,1,True
2035,674,49,16,1,True
2878,939,83,16,1,True
3111,967,83,16,1,True
2610,840,62,16,1,True
3019,947,80,16,1,True
2908,917,80,16,1,True
2954,927,77,16,1,True
2278,753,54,16,1,True
2353,756,57,16,1,True
2382,768,60,16,1,True
3155,977,77,16,1,True
